name,areaType,id,country
IOR,CustomPolygons,594a981423db530f3d085ded,None
Laccadive,CustomPolygons,5e0d785529be4959a24ad8a4,None
Andamans,CustomPolygons,5e0d7802f521ca5982ce7ab4,None
no_entry,CustomPolygons,5fa52c47165b5c50ee015de1,None
around_mumbai,CustomPolygons,5fd479585db51e1948e3f218,None
Nefarious,CustomPolygons,62628f7813aa93001377182f,None
Singapore PBA East,CustomPolygons,6383c32312753f0012a82b85,None
Med-poly-GNSS,CustomPolygons,63873c700284250012ea4f08,None
test,CustomPolygons,63ece3c83408990012d131e5,None
DrugArea,CustomPolygons,646477d261a4470012964c4f,None
Mauritius Cable,CustomPolygons,6470717d83ced7001232a317,None
china jetty,CustomPolygons,64786185c492ca00119d40d7,None
Chinese Mil Dock,CustomPolygons,65c4a17ee837ad8c0449ca0f,None
BGPChallenger_Survey,CustomPolygons,65d475dee521222773359c9a,None
Red Sea Area,CustomPolygons,65fc0e1c4aaf48d6cdf483a4,None
Azerbaijan,EEZ,54880a1a2f16092e9efe6051,None
Barbados,EEZ,54880a1a2f16092e9efe6055,None
Haiti,EEZ,54880a1a2f16092e9efe6080,None
Kenya,EEZ,54880a1a2f16092e9efe608f,None
Malaysia,EEZ,54880a1a2f16092e9efe6098,None
Mexico,EEZ,54880a1a2f16092e9efe609e,None
Bahrain,EEZ,54880a1a2f16092e9efe6053,None
Iceland,EEZ,54880a1a2f16092e9efe6082,None
Nigeria,EEZ,54880a1a2f16092e9efe60ab,None
Poland,EEZ,54880a1a2f16092e9efe60b6,None
Albania,EEZ,54880a1a2f16092e9efe604b,None
Georgia,EEZ,54880a1a2f16092e9efe6077,None
Ireland,EEZ,54880a1a2f16092e9efe6087,None
Lebanon,EEZ,54880a1a2f16092e9efe6093,None
Iraq,EEZ,54880a1a2f16092e9efe6086,None
Monaco,EEZ,54880a1a2f16092e9efe60a0,None
Nicaragua,EEZ,54880a1a2f16092e9efe60aa,None
Latvia,EEZ,54880a1a2f16092e9efe6092,None
Guatemala,EEZ,54880a1a2f16092e9efe607c,None
Grenada,EEZ,54880a1a2f16092e9efe607b,None
Netherlands,EEZ,54880a1a2f16092e9efe60a7,Belgium
Honduras,EEZ,54880a1a2f16092e9efe6081,None
India,EEZ,54880a1a2f16092e9efe6083,None
Italy,EEZ,54880a1a2f16092e9efe6089,None
Guinea,EEZ,54880a1a2f16092e9efe607d,None
Kiribati,EEZ,54880a1a2f16092e9efe6090,None
Kazakhstan,EEZ,54880a1a2f16092e9efe608e,None
Mauritius,EEZ,54880a1a2f16092e9efe609d,None
Palau,EEZ,54880a1a2f16092e9efe60b0,None
Paracel Islands,EEZ,54880a1a2f16092e9efe60b3,None
Norway and Svalbard,EEZ,54880a1a2f16092e9efe60ad,None
Thailand,EEZ,54880a1a2f16092e9efe60d3,None
Bahamas,EEZ,54880a1a2f16092e9efe6052,None
Algeria,EEZ,54880a1a2f16092e9efe604c,None
Jordan,EEZ,54880a1a2f16092e9efe608d,None
New Zealand,EEZ,54880a1a2f16092e9efe60a9,None
The Gambia,EEZ,54880a1a2f16092e9efe6076,None
Kuwait,EEZ,54880a1a2f16092e9efe6091,None
Panama,EEZ,54880a1a2f16092e9efe60b1,None
Peru,EEZ,54880a1a2f16092e9efe60b4,None
Argentina,EEZ,54880a1a2f16092e9efe604f,None
Libya,EEZ,54880a1a2f16092e9efe6095,None
Nauru,EEZ,54880a1a2f16092e9efe60a6,None
Uruguay,EEZ,54880a1a2f16092e9efe60e0,None
Germany,EEZ,54880a1a2f16092e9efe6078,None
Israel,EEZ,54880a1a2f16092e9efe6088,None
France,EEZ,54880a1a2f16092e9efe6074,None
Guyana,EEZ,54880a1a2f16092e9efe607f,None
Marshall Islands,EEZ,54880a1a2f16092e9efe609b,None
Vietnam,EEZ,54880a1a2f16092e9efe60e3,None
Gabon,EEZ,54880a1a2f16092e9efe6075,None
Guinea-Bissau,EEZ,54880a1a2f16092e9efe607e,None
Micronesia,EEZ,54880a1a2f16092e9efe609f,None
Pakistan,EEZ,54880a1a2f16092e9efe60af,None
Togo,EEZ,54880a1a2f16092e9efe60d4,None
Tonga,EEZ,54880a1a2f16092e9efe60d5,None
Angola,EEZ,54880a1a2f16092e9efe604d,None
Ghana,EEZ,54880a1a2f16092e9efe6079,None
Mauritania,EEZ,54880a1a2f16092e9efe609c,None
Iran,EEZ,54880a1a2f16092e9efe6085,None
Greece,EEZ,54880a1a2f16092e9efe607a,None
Morocco,EEZ,54880a1a2f16092e9efe60a2,None
Namibia,EEZ,54880a1a2f16092e9efe60a5,None
Philippines,EEZ,54880a1a2f16092e9efe60b5,None
Papua New Guinea,EEZ,54880a1a2f16092e9efe60b2,None
Myanmar,EEZ,54880a1a2f16092e9efe60a4,None
Mozambique,EEZ,54880a1a2f16092e9efe60a3,None
North Korea,EEZ,54880a1a2f16092e9efe60ac,None
Oman,EEZ,54880a1a2f16092e9efe60ae,None
Egypt,EEZ,54880a1a2f16092e9efe606d,None
Djibouti,EEZ,54880a1a2f16092e9efe6069,None
Ecuador,EEZ,54880a1a2f16092e9efe606c,None
Belgium,EEZ,54880a1a2f16092e9efe6056,None
Equatorial Guinea,EEZ,54880a1a2f16092e9efe606f,None
Tanzania,EEZ,54880a1a2f16092e9efe60d2,None
Denmark,EEZ,54880a1a2f16092e9efe6068,None
El Salvador,EEZ,54880a1a2f16092e9efe606e,None
Spratly Islands,EEZ,54880a1a2f16092e9efe60cb,None
Dominica,EEZ,54880a1a2f16092e9efe606a,None
Antigua and Barbuda,EEZ,54880a1a2f16092e9efe604e,None
Saudi Arabia,EEZ,54880a1a2f16092e9efe60c0,None
Qatar,EEZ,54880a1a2f16092e9efe60b8,None
Bangladesh,EEZ,54880a1a2f16092e9efe6054,None
Taiwan,EEZ,54880a1a2f16092e9efe60d1,None
Solomon Islands,EEZ,54880a1a2f16092e9efe60c6,None
Samoa,EEZ,54880a1a2f16092e9efe60be,None
Sao Tome & Principe,EEZ,54880a1a2f16092e9efe60bf,None
St. Kitts And Nevis,EEZ,54880a1a2f16092e9efe60bb,None
Seychelles,EEZ,54880a1a2f16092e9efe60c2,None
Senegal,EEZ,54880a1a2f16092e9efe60c1,None
Trinidad and Tobago,EEZ,54880a1a2f16092e9efe60d6,None
Estonia,EEZ,54880a1a2f16092e9efe6071,None
Sierra Leone,EEZ,54880a1a2f16092e9efe60c3,None
St. Vincent & The Grenadines,EEZ,54880a1a2f16092e9efe60bd,None
Syria,EEZ,54880a1a2f16092e9efe60d0,None
St. Lucia,EEZ,54880a1a2f16092e9efe60bc,None
Suriname,EEZ,54880a1a2f16092e9efe60ce,None
Finland and Aland Islands,EEZ,54880a1a2f16092e9efe6073,None
Singapore,EEZ,54880a1a2f16092e9efe60c4,None
Slovenia,EEZ,54880a1a2f16092e9efe60c5,None
Spain,EEZ,54880a1a2f16092e9efe60ca,None
South Korea,EEZ,54880a1a2f16092e9efe60c9,None
Madeira and savage islands (Portugal),EEZ,54880a1a2f16092e9efe60b7,None
Sweden,EEZ,54880a1a2f16092e9efe60cf,None
Somalia,EEZ,54880a1a2f16092e9efe60c7,None
Fiji,EEZ,54880a1a2f16092e9efe6072,None
South Africa,EEZ,54880a1a2f16092e9efe60c8,None
Australia,EEZ,54880a1a2f16092e9efe6050,None
Dominican Republic,EEZ,54880a1a2f16092e9efe606b,None
Sudan and South Sudan,EEZ,54880a1a2f16092e9efe60cd,None
Eritrea,EEZ,54880a1a2f16092e9efe6070,None
Sri Lanka,EEZ,54880a1a2f16092e9efe60cc,None
Romania,EEZ,54880a1a2f16092e9efe60b9,None
Benin,EEZ,54880a1a2f16092e9efe6058,None
Belize,EEZ,54880a1a2f16092e9efe6057,None
Ukraine (Including disputed area),EEZ,54880a1a2f16092e9efe60db,None
Comoros,EEZ,54880a1a2f16092e9efe6062,None
Costa Rica,EEZ,54880a1a2f16092e9efe6064,None
Cameroon,EEZ,54880a1a2f16092e9efe605c,None
United Arab Emirates,EEZ,54880a1a2f16092e9efe60dd,None
Cuba,EEZ,54880a1a2f16092e9efe6066,None
Croatia,EEZ,54880a1a2f16092e9efe6065,None
